sig,m,eci,d,diam
F??Fw,6,18,6,2
F??^G,6,29,6,3
F??Ng,6,29,6,3
F?GUW,6,34,6,4
FCO_w,6,36,6,4
F?_ZG,6,36,6,4
F??^O,6,38,6,4
F?AZO,6,38,6,4
F?HSo,6,45,6,5
F?G]_,6,47,6,5
F@IQO,6,54,6,6
F??Nw,7,22,5,2
F?G]W,7,32,5,3
F?AZW,7,32,5,3
F??^W,7,32,5,3
F??^o,7,33,5,3
F?G^_,7,34,5,3
F?C^G,7,35,5,3
F@?Mw,7,35,5,3
F?Cmg,7,35,5,3
F?Dcw,7,35,5,3
F@IQW,7,36,5,3
F@@Kw,7,40,5,4
F@`@w,7,40,5,4
F?Oto,7,41,5,4
F?SsW,7,41,5,4
F??}o,7,41,5,4
F?G]g,7,42,5,4
F?C}O,7,42,5,4
F@Aio,7,42,5,4
FoDPO,7,42,5,3
FCDHW,7,42,5,4
F@O\G,7,43,5,4
F?KuG,7,43,5,4
F_GZ_,7,44,5,4
F@OsW,7,44,5,4
F?Sv?,7,45,5,4
F?Ddo,7,46,5,4
F?C~?,7,46,5,4
FCOpW,7,50,5,5
F?O|_,7,51,5,5
F?StG,7,53,5,5
F?db_,7,54,5,5
F@`J_,7,57,5,5
F@?Nw,8,26,5,2
F??^w,8,26,5,2
F??}w,8,35,5,3
F?G^g,8,36,5,3
F?`Xw,8,37,5,3
F?C^W,8,37,5,3
F??~o,8,37,5,3
F?G]w,8,37,5,3
F?C}W,8,37,5,3
F?O~_,8,38,5,3
F?KuW,8,38,5,3
F@DLW,8,38,5,3
F@`Hw,8,38,5,3
F?Ddw,8,38,5,3
F@G]W,8,38,5,3
F?C~G,8,38,5,3
F@Aiw,8,38,5,3
F?Dfo,8,39,5,3
FG`Xo,8,39,5,3
F@DNG,8,39,5,3
F?C~O,8,39,5,3
F?oz_,8,40,5,3
F_G^_,8,40,5,3
F`AZO,8,40,5,3
F?opw,8,41,5,3
F`?Jw,8,41,5,3
F?StW,8,41,5,3
F?O|o,8,41,5,3
FAG^G,8,41,5,3
FG?\w,8,41,5,3
FGC^G,8,41,5,3
F@QJg,8,41,5,3
FoDPW,8,42,5,3
FGoXg,8,42,5,3
F@MQW,8,42,5,3
FAG[w,8,43,5,4
F?Azo,8,44,5,4
F@IYo,8,44,5,4
FI_gw,8,45,5,4
F?Dlo,8,45,5,4
F?C}o,8,45,5,4
F?O|g,8,46,5,4
F?hPw,8,46,5,4
FA_hw,8,46,5,4
FGC\W,8,47,5,4
FCOjg,8,47,5,4
F?YRg,8,47,5,4
F?xPg,8,47,5,4
FDHGw,8,47,5,4
Fq?gw,8,48,5,3
F_?zo,8,48,5,4
F?df_,8,48,5,4
F@oZG,8,48,5,4
Fo@Xo,8,48,5,3
FAClW,8,49,5,4
F?Fbo,8,49,5,4
F@K]G,8,49,5,4
F_Oxo,8,50,5,4
F`Ogw,8,50,5,4
F@pHg,8,50,5,4
F@`Jg,8,50,5,4
FoD_w,8,51,5,4
F_WXg,8,51,5,4
F?org,8,54,5,4
F`BHo,8,54,5,4
FPCYW,8,57,5,5
FgCXW,8,62,5,5
F?G^w,9,30,4,2
F?Dfw,9,30,4,2
F`?Nw,9,30,4,2
F??~w,9,30,4,2
F?C^w,9,30,4,2
FCS~?,9,36,4,2
F?dn_,9,36,4,2
F_Azo,9,36,4,2
F?Azw,9,38,4,3
F?SvW,9,39,4,3
F?O~g,9,39,4,3
F?C}w,9,39,4,3
F?dXw,9,39,4,3
FAI^O,9,40,4,3
F?C~W,9,40,4,3
FCUj_,9,40,4,3
F@G]w,9,40,4,3
F?Dno,9,40,4,3
F@IYw,9,40,4,3
F?H\w,9,40,4,3
FALcw,9,41,4,3
F?YZg,9,41,4,3
