sig,m,numcol,chi
E???,0,203,1
E??G,1,151,2
E??W,2,114,2
E@?G,2,114,2
E?CW,3,77,3
E`?G,3,87,2
E??w,3,87,2
E?GW,3,87,2
E?D_,3,87,2
EGCW,4,60,3
E?Cw,4,60,3
E?So,4,67,2
E?@w,4,67,2
E?Dg,4,67,2
E?F_,4,67,2
E?d_,4,67,2
E_GW,4,67,2
E@GW,4,70,2
E?Kw,5,43,3
EGCw,5,47,3
E?Sw,5,47,3
E@N?,5,47,3
E?Dw,5,47,3
EGEW,5,47,3
EIGW,5,51,3
E@hO,5,52,2
E?NO,5,52,2
E?dg,5,52,2
E?Bw,5,52,2
EAIW,5,52,2
E?Fg,5,52,2
E`GW,5,54,2
E?Lo,5,54,2
E@Kw,6,26,4
EwCW,6,34,3
E?Lw,6,34,3
EGDw,6,34,3
E@LW,6,34,3
E_Kw,6,34,3
ECSw,6,37,3
E@po,6,37,3
E?Fw,6,37,3
E?NW,6,37,3
EGcw,6,37,3
EGEw,6,37,3
E@ow,6,37,3
EGSw,6,38,3
EAN_,6,40,3
EoSo,6,41,2
ECXo,6,42,2
E?lo,6,42,2
E?No,6,42,2
E@hW,6,42,2
E?\o,6,45,2
E`Kw,7,21,4
E@Lw,7,21,4
E?\w,7,25,3
EALw,7,25,3
E_Lw,7,27,3
EGFw,7,27,3
E?lw,7,27,3
EAMw,7,27,3
E?Nw,7,27,3
E@pw,7,27,3
E@NW,7,27,3
E`ow,7,27,3
E`LW,7,27,3
E@lo,7,27,3
EIKw,7,29,3
EoSw,7,29,3
EELg,7,30,3
EKSw,7,30,3
EANg,7,30,3
E@ro,7,30,3
E_lo,7,32,3
E`dg,7,34,2
EC\o,7,35,2
E?^o,7,35,2
E@\w,8,16,4
E@Nw,8,17,4
E@lw,8,17,4
E`Lw,8,17,4
EILw,8,20,3
EAlw,8,20,3
EPTw,8,20,3
E@rw,8,20,3
E`NW,8,20,3
EC\w,8,20,3
EANw,8,20,3
E?^w,8,20,3
E`lo,8,21,3
E_lw,8,22,3
ETXW,8,22,3
EPVW,8,22,3
EDZW,8,22,3
E@^o,8,23,3
EIMw,8,23,3
EiKw,8,23,3
ED^_,8,24,3
E@vo,8,25,3
ES\o,8,29,2
E?~o,8,30,2
EB\w,9,11,4
E`\w,9,13,4
E`Nw,9,13,4
ED\w,9,13,4
E@^w,9,13,4
E`lw,9,14,4
EC^w,9,15,3
EDZw,9,15,3
EElw,9,15,3
EQlw,9,15,3
E?~w,9,15,3
EqLw,9,16,3
EINw,9,16,3
EBxw,9,16,3
EHuw,9,17,3
E`^o,9,17,3
EImw,9,17,3
E{Sw,9,18,3
EBzo,9,19,3
E@~o,9,20,3
Es\o,9,25,2
EJ\w,10,6,5
EB^w,10,9,4
EJ]w,10,9,4
ED^w,10,10,4
E@~w,10,10,4
E`^w,10,10,4
ET\w,10,10,4
Ed\w,10,11,4
EqNw,10,11,4
EMlw,10,12,3
EBzw,10,12,3
Eqlw,10,13,3
E`~o,10,14,3
EFxw,10,14,3
Es\w,10,15,3
EJ^w,11,5,5
E`~w,11,7,4
EB~w,11,7,4
ER^w,11,7,4
Ed^w,11,8,4
Er\w,11,8,4
Et\w,11,9,4
EFzw,11,10,3
ER~o,11,10,3
EJ~w,12,4,5
ER~w,12,5,4
EF~w,12,5,4
Er^w,12,6,4
E}lw,12,8,3
EN~w,13,3,5
Er~w,13,4,4
E^~w,14,2,5
E~~w,15,1,6
