sig,n,m,avcol,chi
@,1,0,1,1
A?,2,0,1.5,1
A_,2,1,2,2
B?,3,0,2,1
BG,3,1,2.3333333333333335,2
BW,3,2,2.5,2
Bw,3,3,3,3
C?,4,0,2.466666666666667,1
C@,4,1,2.7,2
CB,4,2,2.857142857142857,2
C`,4,2,2.857142857142857,2
CJ,4,3,3.25,3
CN,4,4,3.3333333333333335,3
C^,4,5,3.5,3
C~,4,6,4,4
D??,5,0,2.9038461538461537,1
D?C,5,1,3.081081081081081,2
DGC,5,2,3.2222222222222223,2
D?K,5,2,3.2222222222222223,2
D@K,5,3,3.5294117647058822,3
D@[,5,4,3.6153846153846154,3
D`K,5,4,3.6153846153846154,3
DB[,5,5,3.7777777777777777,3
DJ[,5,6,4.2,4
DJ{,5,7,4.25,4
DN{,5,8,4.333333333333333,4
D^{,5,9,4.5,4
D~{,5,10,5,5
E???,6,0,3.3201970443349755,1
E??G,6,1,3.4635761589403975,2
E@?G,6,2,3.587719298245614,2
E??W,6,2,3.587719298245614,2
E?CW,6,3,3.831168831168831,3
EGCW,6,4,3.9166666666666665,3
E?Cw,6,4,3.9166666666666665,3
E?Kw,6,5,4.069767441860465,3
E@Kw,6,6,4.423076923076923,4
E@Lw,6,7,4.476190476190476,4
E`Kw,6,7,4.476190476190476,4
E@\w,6,8,4.5625,4
EB\w,6,9,4.7272727272727275,4
EJ\w,6,10,5.166666666666667,5
EJ^w,6,11,5.2,5
EJ~w,6,12,5.25,5
EN~w,6,13,5.333333333333333,5
E^~w,6,14,5.5,5
E~~w,6,15,6,6
F????,7,0,3.7206385404789053,1
F???G,7,1,3.841246290801187,2
F?C?G,7,2,3.950286806883365,2
F???W,7,2,3.950286806883365,2
F??GW,7,3,4.147849462365591,3
F??Gw,7,4,4.230508474576271,3
F@?GW,7,4,4.230508474576271,3
F??Ww,7,5,4.371559633027523,3
F?CWw,7,6,4.666666666666667,4
F?CXw,7,7,4.721739130434782,4
FGCWw,7,7,4.721739130434782,4
F?Cxw,7,8,4.808988764044944,4
F?Kxw,7,9,4.968253968253968,4
F@Kxw,7,10,5.351351351351352,5
F`Kxw,7,11,5.387096774193548,5
F@Kzw,7,11,5.387096774193548,5
F@Lzw,7,12,5.44,5
F@\zw,7,13,5.526315789473684,5
FB\zw,7,14,5.6923076923076925,5
FJ\zw,7,15,6.142857142857143,6
FJ\~w,7,16,6.166666666666667,6
FJ^~w,7,17,6.2,6
FJ~~w,7,18,6.25,6
FN~~w,7,19,6.333333333333333,6
F^~~w,7,20,6.5,6
F~~~w,7,21,7,7
G?????,8,0,4.107971014492754,1
G????C,8,1,4.2120747778118295,2
G??G?C,8,2,4.308613364233294,2
G????K,8,2,4.308613364233294,2
G???GK,8,3,4.473107049608355,3
G?C?GK,8,4,4.55152300712897,3
G???G[,8,4,4.55152300712897,3
G???W[,8,5,4.679760888129803,3
G??GW[,8,6,4.927409261576972,4
G@?GW[,8,7,4.9832826747720365,4
G??GW{,8,7,4.9832826747720365,4
G??Gw{,8,8,5.06963249516441,4
G??Ww{,8,9,5.220744680851064,4
G?CWw{,8,10,5.553191489361702,5
G?CWx{,8,11,5.590909090909091,5
GGCWw{,8,11,5.590909090909091,5
G?CXx{,8,12,5.645962732919255,5
G?Cxx{,8,13,5.733870967741935,5
G?Kxx{,8,14,5.896551724137931,5
G@Kxx{,8,15,6.3,6
G@Kxz{,8,16,6.325581395348837,6
G`Kxx{,8,16,6.325581395348837,6
G@Kzz{,8,17,6.361111111111111,6
G@Lzz{,8,18,6.413793103448276,6
G@\zz{,8,19,6.5,6
GB\zz{,8,20,6.666666666666667,6
GJ\zz{,8,21,7.125,7
GJ\z~{,8,22,7.142857142857143,7
