sig,m,avcol,chi
F????,0,3.7206385404789053,1
F???G,1,3.841246290801187,2
F?C?G,2,3.950286806883365,2
F???W,2,3.950286806883365,2
F??H_,3,4.0513447432762835,2
F???w,3,4.0513447432762835,2
F??OW,3,4.0513447432762835,2
FGC?G,3,4.0513447432762835,2
F??GW,3,4.147849462365591,3
F?COW,4,4.102409638554217,2
FG?OW,4,4.145962732919255,2
F??go,4,4.145962732919255,2
F?@H_,4,4.145962732919255,2
F@?M?,4,4.145962732919255,2
F??J_,4,4.145962732919255,2
F??@w,4,4.145962732919255,2
F??Hg,4,4.145962732919255,2
F??Gw,4,4.230508474576271,3
F@?GW,4,4.230508474576271,3
FGCOW,5,4.198473282442748,2
F??Xo,5,4.198473282442748,2
F??^?,5,4.235294117647059,2
F??ZO,5,4.235294117647059,2
F?o_g,5,4.235294117647059,2
F?GQW,5,4.235294117647059,2
F?CeG,5,4.235294117647059,2
F?@Hg,5,4.235294117647059,2
F?DPO,5,4.235294117647059,2
F??Bw,5,4.235294117647059,2
F??Jg,5,4.235294117647059,2
F??N_,5,4.235294117647059,2
F_GOW,5,4.235294117647059,2
F@GOW,5,4.257936507936508,3
F??gw,5,4.31063829787234,3
F?CZ?,5,4.31063829787234,3
F@?IW,5,4.31063829787234,3
F@?Gw,5,4.31063829787234,3
F`?GW,5,4.31063829787234,3
F??Hw,5,4.31063829787234,3
F??Ww,5,4.371559633027523,3
F??xo,6,4.223744292237443,2
F??Zo,6,4.288461538461538,2
FG?[o,6,4.288461538461538,2
F?@Xo,6,4.288461538461538,2
F?Opo,6,4.288461538461538,2
F?DPW,6,4.288461538461538,2
F@G]?,6,4.288461538461538,2
FI?go,6,4.3088235294117645,2
F@IQO,6,4.320197044334975,2
FCO_w,6,4.320197044334975,2
F??Fw,6,4.320197044334975,2
F??Ng,6,4.320197044334975,2
F??^O,6,4.320197044334975,2
F?HSo,6,4.320197044334975,2
F?G]_,6,4.320197044334975,2
F?GUW,6,4.320197044334975,2
