m,avcol,chi,mult
0,3.3201970443349755,1,1
1,3.4635761589403975,2,1
2,3.587719298245614,2,2
3,3.7011494252873565,2,4
3,3.831168831168831,3,1
4,3.742857142857143,2,1
4,3.8059701492537314,2,6
4,3.9166666666666665,3,2
5,3.8518518518518516,2,2
5,3.9038461538461537,2,6
5,3.9411764705882355,3,1
5,4,3,5
5,4.069767441860465,3,1
6,3.8666666666666667,2,1
6,3.9523809523809526,2,4
6,3.975609756097561,2,1
6,4.025,3,1
6,4.052631578947368,3,1
6,4.081081081081081,3,7
6,4.147058823529412,3,5
6,4.423076923076923,4,1
7,3.9714285714285715,2,2
7,4,2,1
7,4.09375,3,1
7,4.133333333333334,3,4
7,4.137931034482759,3,1
7,4.172413793103448,3,1
7,4.222222222222222,3,10
7,4.28,3,2
7,4.476190476190476,4,2
8,3.966666666666667,2,1
8,4,2,1
8,4.16,3,1
8,4.208333333333333,3,1
8,4.217391304347826,3,3
8,4.2727272727272725,3,4
8,4.3,3,1
8,4.333333333333333,3,1
8,4.35,3,7
8,4.529411764705882,4,3
8,4.5625,4,1
9,4,2,1
9,4.2,3,1
9,4.2631578947368425,3,1
9,4.333333333333333,3,1
9,4.352941176470588,3,3
9,4.375,3,2
9,4.4375,3,1
9,4.466666666666667,3,5
9,4.571428571428571,4,1
9,4.615384615384615,4,4
9,4.7272727272727275,4,1
10,4.333333333333333,3,1
10,4.357142857142857,3,2
10,4.461538461538462,3,1
10,4.5,3,2
10,4.636363636363637,4,2
10,4.7,4,4
10,4.777777777777778,4,2
10,5.166666666666667,5,1
11,4.5,3,2
11,4.666666666666667,4,1
11,4.75,4,2
11,4.857142857142857,4,3
11,5.2,5,1
12,4.5,3,1
12,4.833333333333333,4,1
12,5,4,2
12,5.25,5,1
13,5,4,1
13,5.333333333333333,5,1
14,5.5,5,1
15,6,6,1
