sig,m,eci,d,diam
G???F{,7,21,7,2
G???Ns,7,34,7,3
G??CZc,7,34,7,3
G???^c,7,34,7,3
G??OVK,7,39,7,4
G??_uK,7,41,7,4
G?O_c[,7,41,7,4
G?@HcK,7,43,7,4
G??O^C,7,43,7,4
G?GU?[,7,43,7,4
G???^g,7,45,7,4
G???~G,7,45,7,4
G?GQSK,7,52,7,5
G??PUW,7,52,7,5
G?CBKW,7,54,7,5
G??ZCS,7,54,7,5
G?Oc_w,7,54,7,5
G??MPg,7,56,7,5
G??O^O,7,56,7,5
G?@PSo,7,61,7,6
G?GQKo,7,63,7,6
G?CHM_,7,65,7,6
G@GQSG,7,74,7,7
G???N{,8,25,6,2
G?AAXk,8,37,6,3
G??O^K,8,37,6,3
G???~K,8,37,6,3
G???^k,8,37,6,3
G???^w,8,38,6,3
G??O^o,8,39,6,3
G??He[,8,40,6,3
G??Jc[,8,40,6,3
G?C?N[,8,40,6,3
G??GnS,8,40,6,3
G??G^c,8,40,6,3
G??MPk,8,40,6,3
G?CHMc,8,41,6,3
G?D@C{,8,45,6,4
G??_u[,8,45,6,4
G??_uw,8,46,6,4
G??guK,8,46,6,4
G?Oc_{,8,47,6,4
G?CBK[,8,47,6,4
G?O_k[,8,47,6,4
G??ZC[,8,47,6,4
G?EAhW,8,47,6,4
G@?M?{,8,47,6,4
G???~W,8,48,6,4
G??ZCs,8,48,6,4
G??P]W,8,48,6,4
G?`@`w,8,48,6,4
G??CzW,8,48,6,4
G?OPKs,8,48,6,4
G?o_g[,8,49,6,4
G??P]o,8,49,6,4
G??HmW,8,49,6,4
G?CHMK,8,49,6,4
GG?O\o,8,49,6,4
G@?G]c,8,49,6,4
G??O^S,8,49,6,4
G??G~G,8,49,6,4
G@AIOk,8,50,6,4
G??WvC,8,50,6,4
G?F?Xc,8,50,6,4
G?GO]c,8,50,6,4
G?CeGw,8,51,6,4
G@`@_[,8,51,6,4
G@D?\C,8,51,6,4
G?@P[o,8,51,6,4
G?GXeC,8,51,6,4
G?D@Ks,8,51,6,4
G??gv_,8,52,6,4
G?_gqK,8,52,6,4
G?DPV?,8,53,6,4
G??G~_,8,53,6,4
G??Jcw,8,53,6,4
G??Hew,8,53,6,4
G@GCiW,8,54,6,4
G@GQSK,8,54,6,4
GAI?g[,8,57,6,5
G@@?[s,8,57,6,5
G?GTaW,8,58,6,5
G@?A[w,8,58,6,5
G@AAWw,8,58,6,5
G@B?Ws,8,59,6,5
G?H?|_,8,59,6,5
G@?I[g,8,60,6,5
G??_}o,8,60,6,5
G_GOZ_,8,60,6,5
G@`?pK,8,60,6,5
G?@PSs,8,60,6,5
GA?L@w,8,60,6,5
G?B?xo,8,60,6,5
G?@Hdo,8,61,6,5
G?L@cK,8,61,6,5
G??m_w,8,62,6,5
G?GGmc,8,62,6,5
G?MAGk,8,62,6,5
G@@GtC,8,63,6,5
G??Xv?,8,63,6,5
G?D_tC,8,64,6,5
G?D@tG,8,64,6,5
GoCQPG,8,64,6,4
G?o_j_,8,64,6,5
G@?G~?,8,66,6,5
G?D@Lo,8,66,6,5
G?`@pg,8,68,6,6
G?QP`S,8,69,6,6
G?@Ht_,8,70,6,6
G?DPTC,8,73,6,6
G?_ZB_,8,74,6,6
G@_IJ_,8,77,6,6
G?C?N{,9,29,6,2
G???^{,9,29,6,2
G??Cz[,9,40,6,3
G???~[,9,40,6,3
G??O^s,9,41,6,3
G??g}K,9,42,6,3
G??O^[,9,42,6,3
G??_}[,9,42,6,3
G???~w,9,42,6,3
G??G~K,9,42,6,3
G??Hm[,9,42,6,3
G??G^k,9,42,6,3
G?EBG{,9,43,6,3
G?D@K{,9,43,6,3
G?CP]K,9,43,6,3
G?CO^K,9,43,6,3
G??G~c,9,43,6,3
G??_~o,9,43,6,3
G??WvK,9,43,6,3
G??Jc{,9,43,6,3
G??He{,9,43,6,3
G?EAh[,9,43,6,3
G?CHMk,9,43,6,3
G??P]s,9,43,6,3
G??G~g,9,44,6,3
G??Hfw,9,44,6,3
G@?guK,9,44,6,3
G?CHNc,9,44,6,3
GGEAXg,9,45,6,3
G??XvG,9,45,6,3
GG?O^o,9,45,6,3
G??X]c,9,46,6,3
G??W~C,9,46,6,3
G@??]{,9,46,6,3
G@?La[,9,46,6,3
G@?G~C,9,46,6,3
G?GTa[,9,46,6,3
G@?G^c,9,46,6,3
G@?M@{,9,46,6,3
G?CaLs,9,46,6,3
GGC?L{,9,46,6,3
G??_}w,9,46,6,3
G?GO^c,9,46,6,3
G??guk,9,46,6,3
G?@_s{,9,46,6,3
G@GCi[,9,46,6,3
G??ZKs,9,46,6,3
GGCKJc,9,47,6,3
G?L?nC,9,47,6,3
G?@Htg,9,47,6,3
G?CidK,9,47,6,3
G?D@\g,9,47,6,3
G?GO}W,9,47,6,3
G@?G~G,9,47,6,3
G??gu[,9,48,6,4
G?GQ^_,9,48,6,3
G?GSY[,9,48,6,4
G?KsQK,9,48,6,3
G@CILK,9,50,6,4
G@GSYW,9,50,6,4
G?CJK[,9,50,6,4
G??@}w,9,51,6,4
G?EB@{,9,51,6,4
G@?A[{,9,51,6,4
G?@PS{,9,51,6,4
G?H?k{,9,51,6,4
G?AYpo,9,51,6,4
G?`@`{,9,51,6,4
G?CP]W,9,51,6,4
G?O_ls,9,52,6,4
G@AIPk,9,52,6,4
G??qTs,9,52,6,4
G??G~W,9,52,6,4
GC?JBw,9,52,6,4
G@?G]k,9,52,6,4
G?APYs,9,52,6,4
G?O_{w,9,52,6,4
G??P}W,9,52,6,4
GQ`@Gs,9,52,6,4
G@?DYw,9,52,6,4
G??Hmw,9,52,6,4
G@GO]K,9,52,6,4
G?CqS[,9,52,6,4
G??KzW,9,52,6,4
G?Cm?{,9,53,6,4
G??_}s,9,53,6,4
G?@Hfo,9,53,6,4
G?GQ[w,9,53,6,4
GG??|w,9,53,6,4
G?GQ\g,9,53,6,4
G@AAW{,9,53,6,4
G?_OzK,9,53,6,4
G@@GtK,9,53,6,4
G?d@G{,9,53,6,4
G?AOzS,9,53,6,4
GCO_W{,9,53,6,4
G?Cq\O,9,53,6,4
G?B?xs,9,53,6,4
G?AAxw,9,53,6,4
G??isw,9,54,6,4
GAJ?Xc,9,54,6,4
GAGKHk,9,54,6,4
Gq?@Ww,9,54,6,3
G_GSZ_,9,54,6,3
GO?YPk,9,54,6,4
G?H?|c,9,54,6,4
G?_PYk,9,54,6,4
GoCAhW,9,54,6,3
G?CyTC,9,54,6,4
G??XuW,9,54,6,4
G?J?z_,9,54,6,4
G??XvC,9,54,6,4
G??g}o,9,54,6,4
G??g~_,9,54,6,4
G?CZC[,9,54,6,4
G?@Hlo,9,54,6,4
G?HK`k,9,54,6,4
G?MAHk,9,54,6,4
G?G]@k,9,54,6,4
GQ?GXk,9,54,6,4
GG?WtK,9,55,6,4
G?D_tK,9,55,6,4
G`?GZc,9,55,6,4
G?CHnG,9,55,6,4
G?CJLg,9,55,6,4
G?B@pw,9,55,6,4
G_CHJc,9,55,6,4
G_GOZc,9,55,6,4
G@?Y\O,9,55,6,4
GGCO\K,9,55,6,4
G?`@hw,9,55,6,4
G?D@tK,9,55,6,4
G?G]Bc,9,55,6,4
G?DcRc,9,55,6,4
G??ZSw,9,56,6,4
GC?QX[,9,56,6,4
G?o_n_,9,56,6,4
GA?H\g,9,56,6,4
G@F?ZC,9,56,6,4
G??Jdw,9,56,6,4
G??ZTg,9,56,6,4
G??H~_,9,56,6,4
G?GGmk,9,56,6,4
G?D_vC,9,56,6,4
G??W~O,9,56,6,4
G?Gkqg,9,56,6,4
G?`@jo,9,56,6,4
G?DDHw,9,56,6,4
G@?I\g,9,57,6,4
G?DPVC,9,57,6,4
G@?g}O,9,57,6,4
G@?{QS,9,57,6,4
G??xuO,9,57,6,4
G?DP[o,9,57,6,4
GIA@Ww,9,57,6,4
G?CeHw,9,57,6,4
G@OGlK,9,57,6,4
G?D@Ls,9,57,6,4
G?OHlg,9,57,6,4
G@_IHk,9,57,6,4
G?CJN_,9,57,6,4
G??|Qo,9,57,6,4
G?C_~G,9,57,6,4
G?Z?hc,9,57,6,4
G?DDJo,9,57,6,4
G@R?Xc,9,58,6,4
GA?gtK,9,58,6,4
GGB?xo,9,58,6,4
GAGP[W,9,58,6,4
G@`?Zc,9,58,6,4
G?GXmO,9,58,6,4
GqG?g[,9,58,6,4
GG?WvC,9,58,6,4
G`@@Ww,9,58,6,4
G?`H`k,9,59,6,4
GII?g[,9,59,6,4
GGEBGw,9,59,6,4
