m,eci,d,mult
6,18,6,1
6,29,6,2
6,34,6,1
6,36,6,2
6,38,6,2
6,45,6,1
6,47,6,1
6,54,6,1
7,22,5,1
7,32,5,3
7,33,5,1
7,34,5,1
7,35,5,4
7,36,5,1
7,40,5,2
7,41,5,3
7,42,5,5
7,43,5,2
7,44,5,2
7,45,5,1
7,46,5,2
7,50,5,1
7,51,5,1
7,53,5,1
7,54,5,1
7,57,5,1
8,26,5,2
8,35,5,1
8,36,5,1
8,37,5,5
8,38,5,8
8,39,5,4
8,40,5,3
8,41,5,8
8,42,5,3
8,43,5,1
8,44,5,2
8,45,5,3
8,46,5,3
8,47,5,5
8,48,5,5
8,49,5,3
8,50,5,4
8,51,5,2
8,54,5,2
8,57,5,1
8,62,5,1
9,30,4,5
9,36,4,3
9,38,4,1
9,39,4,4
9,40,4,7
9,41,4,8
9,42,4,10
9,43,4,14
9,44,4,13
9,45,4,7
9,46,4,2
9,47,4,9
9,48,4,3
9,49,4,1
9,50,4,2
9,51,4,3
9,52,4,3
9,53,4,4
9,54,4,3
9,56,4,1
9,57,4,2
9,58,4,1
9,62,4,1
10,34,4,9
10,40,4,15
10,42,4,1
10,43,4,5
10,44,4,16
10,45,4,17
10,46,4,13
10,47,4,11
10,48,4,11
10,49,4,9
10,50,4,9
10,51,4,3
10,52,4,1
10,53,4,4
10,54,4,1
10,55,4,1
10,56,4,1
10,57,4,1
10,59,4,1
10,60,4,2
10,64,4,1
11,32,4,1
11,38,4,14
11,44,4,37
11,46,4,1
11,47,4,5
11,48,4,17
11,49,4,20
11,50,4,9
11,51,4,11
11,52,4,6
11,53,4,2
11,54,4,6
11,55,4,4
11,56,4,2
11,59,4,1
11,61,4,1
11,66,4,1
12,36,3,1
12,42,3,20
12,48,3,55
12,50,3,1
12,51,3,3
12,52,3,12
12,53,3,16
12,54,3,2
12,55,3,6
12,56,3,5
12,57,3,1
12,59,3,1
12,60,3,1
12,61,3,1
12,65,3,1
13,40,3,2
13,46,3,22
13,52,3,51
13,55,3,1
13,56,3,5
13,57,3,9
13,59,3,1
13,60,3,2
13,61,3,1
13,65,3,1
14,44,3,4
14,50,3,20
14,56,3,33
14,60,3,2
14,61,3,4
14,65,3,1
15,42,3,1
15,48,3,5
15,54,3,15
15,60,3,17
15,65,3,2
16,46,2,1
16,52,2,5
16,58,2,9
16,64,2,6
17,50,2,2
17,56,2,4
17,62,2,3
17,68,2,1
18,48,2,1
18,54,2,2
18,60,2,1
18,66,2,1
19,52,2,1
19,58,2,1
20,50,2,1
21,42,1,1
