m,numcol,chi,mult
0,877,1,1
1,674,2,1
2,523,2,2
3,372,3,1
3,409,2,4
4,295,3,2
4,322,2,7
4,332,2,1
5,218,3,1
5,235,3,6
5,252,3,1
5,255,2,11
5,262,2,2
6,141,4,1
6,175,3,5
6,188,3,13
6,192,3,1
6,201,3,2
6,203,2,11
6,204,2,1
6,208,2,6
6,219,2,1
7,115,4,2
7,132,3,2
7,141,3,15
7,149,3,1
7,150,3,1
7,151,3,18
7,154,3,6
7,161,3,4
7,162,3,1
7,163,2,1
7,163,3,1
7,166,2,9
7,170,2,1
7,174,2,3
8,89,4,1
8,94,4,5
8,106,3,1
8,107,3,10
8,112,3,1
8,114,3,28
8,116,3,4
8,120,3,4
8,121,3,5
8,122,3,1
8,124,3,17
8,125,3,1
8,129,3,2
8,131,3,3
8,132,3,1
8,134,2,1
8,136,2,3
8,139,2,7
8,145,2,1
8,149,2,1
9,63,4,1
9,73,4,6
9,77,4,7
9,78,4,1
9,82,3,5
9,86,3,3
9,87,3,32
9,91,3,6
9,92,3,4
9,93,3,1
9,94,3,20
9,96,3,1
9,97,3,12
9,99,3,3
9,100,3,2
9,101,3,4
9,102,3,4
9,104,3,8
9,106,3,1
9,107,3,1
9,109,3,1
9,110,3,1
9,112,2,1
9,114,2,1
9,116,2,2
9,119,2,2
9,125,2,1
10,37,5,1
10,52,4,3
10,57,4,4
10,60,4,15
10,62,4,2
10,63,4,1
10,64,4,4
10,66,3,2
10,67,3,24
10,70,3,11
10,71,3,6
10,72,3,12
10,74,3,19
10,75,3,3
10,76,3,1
10,77,3,6
10,78,3,4
10,79,3,6
10,80,3,4
10,81,3,5
10,82,3,1
10,83,3,1
10,84,3,4
10,85,3,1
10,87,3,2
10,89,3,1
10,91,3,1
10,97,2,1
10,99,2,1
10,100,2,1
10,104,2,1
11,31,5,2
11,41,4,3
11,43,4,7
11,46,4,2
11,47,4,19
11,49,4,1
11,50,4,6
11,51,4,8
11,52,3,12
11,53,4,2
11,54,3,12
11,54,4,1
11,55,3,7
11,56,3,2
11,57,3,16
11,58,3,6
11,59,3,3
11,60,3,5
11,61,3,8
11,62,3,6
11,63,3,2
11,64,3,4
11,65,3,4
11,66,3,1
11,67,3,1
11,68,3,1
11,69,3,1
11,70,3,2
11,72,3,1
11,74,3,1
11,75,3,1
11,85,2,1
12,25,5,1
12,26,5,3
12,30,4,2
12,34,4,14
12,35,4,2
12,36,4,2
12,37,4,14
12,38,4,8
12,39,4,2
12,40,4,12
12,41,3,1
12,42,3,11
12,42,4,5
12,43,4,4
12,44,3,4
12,44,4,1
12,45,3,12
12,45,4,1
12,46,3,2
12,47,3,8
12,48,3,2
12,49,3,3
12,50,3,5
12,51,3,3
12,52,3,1
12,53,3,2
12,54,3,2
12,55,3,1
12,56,3,1
12,60,3,1
12,75,2,1
13,19,5,1
13,21,5,4
13,22,5,1
13,24,4,1
13,25,4,5
13,27,4,15
13,28,4,1
13,29,4,9
13,30,4,12
13,31,4,1
13,32,4,6
13,33,4,6
13,34,3,2
13,34,4,4
13,35,3,7
13,35,4,3
13,36,3,2
13,36,4,1
13,37,3,4
13,39,3,3
13,40,3,4
13,41,3,2
13,45,3,2
13,50,3,1
14,13,5,1
14,16,5,3
14,17,5,4
14,18,5,1
14,20,4,11
14,21,4,2
14,22,4,7
14,23,4,7
14,24,4,5
14,25,4,4
14,26,4,4
14,27,4,3
14,28,3,1
14,29,3,3
14,29,4,1
14,30,3,3
14,30,4,1
14,31,3,1
14,32,3,1
14,35,3,2
15,7,6,1
15,11,5,2
15,13,5,5
15,14,5,2
15,15,4,5
15,15,5,1
15,16,4,4
15,17,4,4
15,18,4,3
15,19,4,2
15,20,4,5
15,21,4,3
15,22,4,1
15,24,3,1
15,25,3,2
16,6,6,1
16,9,5,2
16,10,5,5
16,11,5,2
16,12,4,2
16,12,5,1
16,13,4,1
16,14,4,3
16,15,4,2
16,16,4,1
16,20,3,1
17,5,6,1
17,7,5,3
17,8,5,2
17,9,5,1
17,10,4,2
17,12,4,1
18,4,6,1
18,5,5,2
18,6,5,1
18,8,4,1
19,3,6,1
19,4,5,1
20,2,6,1
21,1,7,1
